CreationDate,StudentID
2022-08-22,35
2021-06-23,22
2025-02-27,9
2023-02-03,6
2025-09-04,20
2023-09-17,20
2025-06-14,4
2020-10-31,35
2024-07-06,32
2025-09-13,17
2023-11-14,5
2023-06-02,30
2023-02-22,18
2021-02-17,26
2021-11-17,18
2023-09-25,10
2022-11-08,30
2024-04-26,35
2025-01-25,9
2023-08-15,20
2024-05-01,14
2023-04-22,33
2025-02-01,18
2021-02-11,31
2021-12-19,31
2022-04-28,10
2023-11-27,28
2021-07-24,15
2022-06-10,33
2023-04-14,18
2025-10-06,29
2024-09-28,10
2023-07-18,11
2021-07-04,21
2020-12-27,35
